%time,field.accel0,field.accel1,field.accel2,field.gyro0,field.gyro1,field.gyro2,field.rf_P0,field.rf_P1,field.rf_P2,field.lf_P0,field.lf_P1,field.lf_P2,field.rr_P0,field.rr_P1,field.rr_P2,field.lr_P0,field.lr_P1,field.lr_P2,field.rf_V0,field.rf_V1,field.rf_V2,field.lf_V0,field.lf_V1,field.lf_V2,field.rr_V0,field.rr_V1,field.rr_V2,field.lr_V0,field.lr_V1,field.lr_V2,field.footForce0,field.footForce1,field.footForce2,field.footForce3
1639394193352910027,0.186666667461,-0.118461541831,9.77666664124,-0.0128466710448,0.0115167489275,-0.00810877606273,0.163530677557,-0.149685099721,-0.298197537661,0.163111776114,0.152909055352,-0.3008005023,-0.194027453661,-0.144039332867,-0.297903954983,-0.196538969874,0.148878604174,-0.303078532219,0.163530677557,-0.149685099721,-0.298197537661,-0.0104540204629,0.00136306101922,-0.00443118624389,-0.194027453661,-0.144039332867,-0.297903954983,0.000768223311752,0.000165196746821,-0.00298930425197,64,58,29,50
1639394193357746798,0.17948718369,0.163333341479,9.81794929504,0.00313229393214,-0.00339695205912,-0.00278245517984,0.163530677557,-0.149685099721,-0.298197537661,0.163111776114,0.152896389365,-0.300804913044,-0.194027453661,-0.144039332867,-0.297903954983,-0.196551889181,0.148878574371,-0.303077816963,0.163530677557,-0.149685099721,-0.298197537661,-0.00145733926911,-0.0240148343146,-0.00848464854062,-0.194027453661,-0.144039332867,-0.297903954983,-0.0326217524707,0.0165069662035,0.00343764782883,64,58,29,51
1639394193362826795,-0.364358991385,0.019743591547,9.83410263062,0.00206702947617,0.0115167489275,-0.00597824854776,0.163543522358,-0.149685129523,-0.298198223114,0.163111776114,0.152896389365,-0.300804913044,-0.194027453661,-0.144039332867,-0.297903954983,-0.196545094252,0.148878291249,-0.303072810173,0.163543522358,-0.149685129523,-0.298198223114,-0.0221656728536,-0.0132541386411,-0.00342157436535,-0.194027453661,-0.144039332867,-0.297903954983,-0.0336914844811,-0.00576225668192,0.00835513696074,65,59,29,50
1639394193367844981,0.138205125928,-0.326666682959,9.54153823853,-0.00325929233804,-0.00659274496138,-0.00491298409179,0.163543522358,-0.149685129523,-0.298198223114,0.163124740124,0.152909114957,-0.300801187754,-0.194027453661,-0.144051879644,-0.297899842262,-0.196551889181,0.148878574371,-0.303077816963,0.163543522358,-0.149685129523,-0.298198223114,0.0170141011477,0.019698150456,0.00586880883202,-0.194027453661,-0.144051879644,-0.297899842262,-0.0648595094681,0.000652605725918,-0.0118091739714,65,58,29,50
1639394193372844641,-0.341025650501,0.113076925278,10.1571798325,0.00313229393214,0.000864105531946,-0.0091740405187,0.163543522358,-0.149685129523,-0.298198223114,0.163124740124,0.152909114957,-0.300801187754,-0.194027453661,-0.144039332867,-0.297903954983,-0.196532174945,0.148878335953,-0.303073525429,0.163543522358,-0.149685129523,-0.298198223114,0.0121320672333,0.0203621406108,0.00390797900036,-0.194027453661,-0.144039332867,-0.297903954983,0.0195719879121,-0.000490480044391,0.0136712184176,64,58,29,50
1639394193377790589,0.199230775237,-0.019743591547,9.39794921875,0.00100176513661,0.0115167489275,0.00254386803135,0.163530677557,-0.149672538042,-0.298201858997,0.163124740124,0.152896434069,-0.3008056283,-0.194027453661,-0.144039332867,-0.297903954983,-0.196538969874,0.148878604174,-0.303078532219,0.163530677557,-0.149672538042,-0.298201858997,0.0146391997114,-0.0252454597503,-0.00982094649225,-0.194027453661,-0.144039332867,-0.297903954983,0.0222170222551,0.0117867505178,0.00252724974416,65,58,30,50
1639394193382775117,0.269230782986,-0.0251282062382,9.52000045776,-0.00219402788207,0.000864105531946,0.00893545243889,0.163530677557,-0.149685099721,-0.298197537661,0.163124740124,0.152909114957,-0.300801187754,-0.194027453661,-0.144051879644,-0.297899842262,-0.196532174945,0.148878335953,-0.303073525429,0.163530677557,-0.149685099721,-0.298197537661,0.0146987158805,0.00574248097837,-0.00272990623489,-0.194027453661,-0.144051879644,-0.297899842262,0.0234170854092,-0.000884117383976,0.0159984733909,64,58,30,50
1639394193387821493,0.0484615415335,-0.120256409049,9.52358913422,0.0063280868344,-0.0204411800951,0.0131965102628,0.163530677557,-0.149672538042,-0.298201858997,0.163124740124,0.152896434069,-0.3008056283,-0.194027453661,-0.144051879644,-0.297899842262,-0.196538969874,0.148878604174,-0.303078532219,0.163530677557,-0.149672538042,-0.298201858997,-0.00965646933764,-0.0297236461192,-0.017776472494,-0.194027453661,-0.144051879644,-0.297899842262,0.0139316506684,-0.00116319581866,-0.00293075595982,65,57,29,50
1639394193392429440,-0.118461541831,-0.0358974374831,9.97769260406,0.00419755838811,0.00299463421106,-0.0230224784464,0.163530677557,-0.149685099721,-0.298197537661,0.163111776114,0.152896389365,-0.300804913044,-0.194027453661,-0.144051879644,-0.297899842262,-0.196551889181,0.148878574371,-0.303077816963,0.163530677557,-0.149685099721,-0.298197537661,-0.0138892382383,-0.0195414200425,-0.0043043862097,-0.194027453661,-0.144051879644,-0.297899842262,-0.0292027592659,-8.87112691998e-05,-0.0127822617069,64,58,29,51
1639394193397787885,0.254871785641,-0.0466666668653,9.61512851715,-0.00965087860823,0.00512516312301,-0.00171719072387,0.163530677557,-0.149685099721,-0.298197537661,0.163124740124,0.152909114957,-0.300801187754,-0.194020837545,-0.14403912425,-0.297898709774,-0.196551889181,0.148878574371,-0.303077816963,0.163530677557,-0.149685099721,-0.298197537661,-0.0017933442723,0.0246243420988,0.00731193460524,-0.194020837545,-0.14403912425,-0.297898709774,-0.0304906666279,0.0106380870566,0.0041289399378,64,58,29,50
